angle_deg	amp_300	amp_500	amp_700	amp_900
3.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.95000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
