Optimized EHL Solver Init
Step 114/329 | Load err=4.0763e-01 | Res=9.9139e-02 | Iters=0 | Step time=0.096s | Total time=30.8s
Step 115/329 | Load err=4.5532e-01 | Res=1.7062e-01 | Iters=0 | Step time=0.096s | Total time=30.9s
Step 116/329 | Load err=4.9507e-01 | Res=2.3119e-01 | Iters=0 | Step time=0.096s | Total time=31.0s
Step 117/329 | Load err=5.2763e-01 | Res=2.8113e-01 | Iters=0 | Step time=0.096s | Total time=31.1s
Step 118/329 | Load err=5.5370e-01 | Res=3.2129e-01 | Iters=0 | Step time=0.096s | Total time=31.2s
Step 119/329 | Load err=5.7395e-01 | Res=3.5256e-01 | Iters=0 | Step time=0.096s | Total time=31.3s
Step 120/329 | Load err=5.8901e-01 | Res=3.7584e-01 | Iters=0 | Step time=0.099s | Total time=31.4s
Step 121/329 | Load err=5.9949e-01 | Res=3.9201e-01 | Iters=0 | Step time=0.096s | Total time=31.5s
Step 122/329 | Load err=6.0595e-01 | Res=4.0192e-01 | Iters=0 | Step time=0.097s | Total time=31.6s
Step 123/329 | Load err=6.0892e-01 | Res=4.0642e-01 | Iters=0 | Step time=0.097s | Total time=31.7s
Step 124/329 | Load err=6.0892e-01 | Res=4.0626e-01 | Iters=0 | Step time=0.097s | Total time=31.8s
Step 125/329 | Load err=6.0640e-01 | Res=4.0219e-01 | Iters=0 | Step time=0.097s | Total time=31.9s
Step 126/329 | Load err=6.0179e-01 | Res=3.9488e-01 | Iters=0 | Step time=0.097s | Total time=32.0s
Step 127/329 | Load err=5.9548e-01 | Res=3.8495e-01 | Iters=0 | Step time=0.097s | Total time=32.1s
Step 128/329 | Load err=5.8781e-01 | Res=3.7295e-01 | Iters=0 | Step time=0.097s | Total time=32.2s
Step 129/329 | Load err=5.7910e-01 | Res=3.5937e-01 | Iters=0 | Step time=0.097s | Total time=32.3s
Step 130/329 | Load err=5.6963e-01 | Res=3.4465e-01 | Iters=0 | Step time=0.097s | Total time=32.4s
Step 131/329 | Load err=5.5963e-01 | Res=3.2917e-01 | Iters=0 | Step time=0.097s | Total time=32.5s
Step 132/329 | Load err=5.4933e-01 | Res=3.1326e-01 | Iters=0 | Step time=0.096s | Total time=32.6s
Step 133/329 | Load err=5.3890e-01 | Res=2.9722e-01 | Iters=0 | Step time=0.096s | Total time=32.7s
Step 134/329 | Load err=5.2852e-01 | Res=2.8127e-01 | Iters=0 | Step time=0.096s | Total time=32.8s
Step 135/329 | Load err=5.1830e-01 | Res=2.6564e-01 | Iters=0 | Step time=0.096s | Total time=32.9s
Step 136/329 | Load err=5.0837e-01 | Res=2.5050e-01 | Iters=0 | Step time=0.096s | Total time=33.0s
Step 137/329 | Load err=4.9884e-01 | Res=2.3598e-01 | Iters=0 | Step time=0.096s | Total time=33.1s
Step 138/329 | Load err=4.8980e-01 | Res=2.2222e-01 | Iters=0 | Step time=0.096s | Total time=33.2s
Step 139/329 | Load err=4.8131e-01 | Res=2.0930e-01 | Iters=0 | Step time=0.096s | Total time=33.3s
Step 140/329 | Load err=4.7341e-01 | Res=1.9731e-01 | Iters=0 | Step time=0.096s | Total time=33.4s
Step 141/329 | Load err=4.6614e-01 | Res=1.8630e-01 | Iters=0 | Step time=0.096s | Total time=33.4s
